3038982,Riu de les Soronelles,Riu de les Soronelles,,42.53933,1.64583,H,STM,AD,,3,,,,0,,2143,Europe/Andorra,06-02-15
3038983,Collada de les Soronelles,Collada de les Soronelles,,42.54792,1.65159,T,PASS,AD,,0,,,,0,,2480,Europe/Andorra,06-02-15
3038984,Pic de les Sorobilles,Pic de les Sorobilles,,42.56677,1.53956,T,PK,AD,,5,,,,0,,1811,Europe/Andorra,03-12-14
3038985,Riu de Sorn√ s,Riu de Sornas,,42.56314,1.52724,H,STM,AD,,5,,,,0,,1296,Europe/Andorra,03-12-14
3038986,Clot de Sorn√ s,Clot de Sornas,,42.57766,1.55066,H,RVN,AD,,5,,,,0,,2062,Europe/Andorra,03-12-14
3038987,Sorn√ s,Sornas,"Sornas,Sorn√ s",42.56461,1.52757,P,PPL,AD,,5,,,,0,,1328,Europe/Andorra,05-11-14
3038988,Riu de Suriguera,Riu de Suriguera,"Riu de Soriguera,Riu de Suriguera",42.58564,1.60996,H,STM,AD,,2,,,,0,,1921,Europe/Andorra,03-12-14
3038989,Solana del Soriguer,Solana del Soriguer,,42.56963,1.55225,T,SLP,AD,,5,,,,0,,1738,Europe/Andorra,03-12-14
3038990,Clot Sord,Clot Sord,,42.60053,1.65448,T,CRQ,AD,,2,,,,0,,2405,Europe/Andorra,05-11-14
3038991,Sol√  de Soquer,Sola de Soquer,,42.45544,1.48099,T,SLP,AD,,6,,,,0,,1107,Europe/Andorra,08-04-15
3038992,Riu de Soplan√ s,Riu de Soplanas,"Riu de Soplanars,Riu de Soplanas,Riu de Soplan√ s",42.5792,1.62939,H,STM,AD,,2,,,,0,,1675,Europe/Andorra,03-12-14
3038993,Borda de Som,Borda de Som,,42.57027,1.59043,S,HUT,AD,,2,,,,0,,1844,Europe/Andorra,03-12-14
3038994,Roc de Solobre,Roc de Solobre,,42.49267,1.50825,T,RKS,AD,,7,,,,0,,1324,Europe/Andorra,06-05-15
3038995,Bosc de Solobre,Bosc de Solobre,,42.49044,1.50667,V,FRST,AD,,7,,,,0,,1319,Europe/Andorra,08-03-15
3038996,Bosc del Soleador,Bosc del Soleador,,42.60191,1.52112,V,FRST,AD,,5,,,,0,,1766,Europe/Andorra,03-12-14
3038997,Cam√≠ de Soldeu,Cami de Soldeu,,42.57724,1.65827,R,TRL,AD,,2,,,,0,,1742,Europe/Andorra,03-12-14
